EBRO 29-6	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-7	Brinzales	135	151	242	218	264	356	103	101	101	181	142	159	232	255	110	304
EBRO 29-7	Brinzales	144	155	246	224	-9	-9	-9	-9	-9	186	-9	161	238	261	119	-9
EBRO 29-7	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-7	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-8	Brinzales	135	155	242	218	251	356	93	101	107	196	142	159	224	249	119	304
EBRO 29-8	Brinzales	-9	-9	246	222	264	-9	-9	103	-9	-9	-9	163	232	255	-9	-9
EBRO 29-8	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-8	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-9	Brinzales	135	155	246	218	264	356	93	101	107	196	142	155	226	249	110	304
EBRO 29-9	Brinzales	-9	-9	250	232	272	-9	-9	-9	-9	-9	-9	161	232	255	119	-9
EBRO 29-9	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-9	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-10	Brinzales	135	155	244	218	251	356	103	101	101	184	142	161	228	255	108	304
EBRO 29-10	Brinzales	-9	159	246	-9	264	-9	105	103	107	196	-9	163	230	261	119	-9
EBRO 29-10	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-10	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-11	Brinzales	128	155	244	218	262	356	93	101	99	177	142	159	222	249	110	304
EBRO 29-11	Brinzales	135	-9	246	222	264	358	-9	-9	107	186	-9	161	232	255	119	-9
EBRO 29-11	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-11	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-12	Brinzales	128	155	246	218	251	356	93	101	99	186	142	159	232	255	108	304
EBRO 29-12	Brinzales	135	-9	250	232	264	360	-9	103	101	202	-9	161	238	261	119	-9
EBRO 29-12	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-12	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-13	Brinzales	134	148	244	218	264	356	103	101	101	194	142	155	230	249	110	304
EBRO 29-13	Brinzales	135	155	246	-9	270	-9	-9	103	107	196	-9	159	232	-9	119	-9
EBRO 29-13	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-13	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-14	Brinzales	135	151	242	224	264	356	103	101	101	181	142	161	228	249	110	304
EBRO 29-14	Brinzales	144	155	246	232	268	-9	-9	-9	107	196	-9	-9	238	255	119	-9
EBRO 29-14	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-14	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-15	Brinzales	134	155	246	218	251	356	93	101	101	186	142	161	232	249	108	304
EBRO 29-15	Brinzales	135	-9	250	-9	264	360	103	103	107	202	-9	169	234	255	119	-9
EBRO 29-15	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-15	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-16	Brinzales	135	153	246	218	251	356	103	101	101	186	142	161	228	249	119	304
EBRO 29-16	Brinzales	-9	155	250	-9	264	358	-9	-9	107	198	-9	171	232	255	-9	-9
EBRO 29-16	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-16	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-17	Brinzales	135	155	242	218	-9	356	103	101	101	196	142	159	220	249	108	304
EBRO 29-17	Brinzales	-9	-9	246	232	-9	-9	105	-9	105	-9	-9	169	228	261	119	-9
EBRO 29-17	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-17	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-18	Brinzales	128	155	246	218	264	356	93	103	101	184	142	161	224	249	110	304
EBRO 29-18	Brinzales	135	161	250	-9	270	358	99	-9	107	196	-9	163	228	257	125	-9
EBRO 29-18	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-18	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-1	Brinzales	132	141	250	218	264	358	93	101	97	181	142	155	224	239	108	304
EBRO 22-1	Brinzales	134	151	252	220	266	-9	103	-9	99	190	-9	161	228	251	113	318
EBRO 22-1	Brinzales	-9	155	-9	-9	270	-9	-9	-9	101	198	-9	163	230	255	116	320
EBRO 22-1	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-2	Brinzales	132	151	244	218	264	356	93	101	97	183	142	161	224	243	119	304
EBRO 22-2	Brinzales	144	153	248	-9	266	358	111	-9	99	198	-9	167	226	245	-9	306
EBRO 22-2	Brinzales	-9	155	250	-9	270	-9	113	-9	101	-9	-9	171	-9	255	-9	-9
EBRO 22-2	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-3	Brinzales	134	155	246	218	251	358	93	101	101	173	142	159	228	249	116	304
EBRO 22-3	Brinzales	144	159	250	-9	272	360	103	-9	107	198	-9	161	230	255	119	-9
EBRO 22-3	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-3	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-4	Brinzales	134	153	250	218	251	358	93	101	99	177	142	161	228	255	116	304
EBRO 22-4	Brinzales	-9	-9	-9	-9	-9	-9	103	-9	101	198	-9	169	238	-9	136	-9
EBRO 22-4	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-4	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-5	Brinzales	130	141	244	218	266	356	93	101	99	177	142	155	214	243	119	302
EBRO 22-5	Brinzales	132	153	248	-9	268	358	99	-9	107	198	-9	163	224	255	-9	304
EBRO 22-5	Brinzales	134	-9	250	-9	272	-9	109	-9	-9	-9	-9	-9	230	-9	-9	308
EBRO 22-5	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-6	Brinzales	135	148	244	218	251	356	93	101	99	198	142	161	224	255	108	304
EBRO 22-6	Brinzales	144	153	250	-9	264	358	-9	-9	101	202	-9	163	238	-9	116	-9
EBRO 22-6	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-6	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 22-7	Brinzales	134	153	242	218	251	356	93	101	99	173	142	155	224	255	119	304
